id,first_name,last_name,gender,part_time_job,absence_days,extracurricular_activities,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,class,average_score,academic_performance,over_absence_days,final_academic_performance,major_group
481,Janet,Martin,female,TRUE,7,FALSE,Business Owner,79,54,81,87,67,74,85,B,76,good,Yes,average,economics
482,Teresa,Flores,female,FALSE,4,TRUE,Real Estate Developer,93,77,71,62,94,69,72,A1,77.1,good,No,good,economics
483,Anthony,Mullins,male,FALSE,5,TRUE,Artist,97,88,67,72,83,87,62,A,79.2,good,Yes,average,art
484,Julie,Zamora,female,FALSE,6,TRUE,Unknown,76,82,93,98,98,60,65,C,77.9,good,Yes,average,unknown
485,Maria,Nguyen,female,FALSE,3,TRUE,Accountant,84,83,80,91,88,61,61,A1,77.3,good,No,good,economics
486,Selena,Castro,female,TRUE,5,FALSE,Business Owner,56,96,65,61,78,77,95,A1,72.6,good,Yes,average,economics
487,Whitney,Miller,female,FALSE,3,FALSE,Unknown,97,89,94,91,95,70,75,A1,87.2,excellent,No,excellent,unknown
488,Brenda,Mooney,female,FALSE,10,FALSE,Business Owner,67,60,97,53,93,78,81,A1,77.1,good,Yes,average,economics
489,Angela,Allen,female,TRUE,10,FALSE,Business Owner,97,93,64,74,94,74,76,C,81.5,good,Yes,average,economics
490,Erica,Cohen,female,FALSE,5,FALSE,Business Owner,100,67,50,78,73,90,91,A,77.7,good,Yes,average,economics
491,Kelly,Sanders,female,FALSE,5,TRUE,Teacher,83,61,76,75,62,79,94,A1,76.8,good,Yes,average,teaching
492,Michael,Clark,male,FALSE,5,FALSE,Artist,85,63,83,83,69,94,80,C,79.4,good,Yes,average,art
493,Tammy,Fields,female,FALSE,5,TRUE,Banker,100,96,97,64,76,77,61,A,83.2,good,Yes,average,economics
494,Steven,Pennington,male,FALSE,4,FALSE,Doctor,92,98,99,86,100,86,87,C,91.9,excellent,No,excellent,healthcare
495,Matthew,Chavez,male,FALSE,3,FALSE,Writer,88,98,65,68,99,94,79,C,86.2,excellent,No,excellent,journalism
496,Stephen,Gallagher,male,FALSE,1,FALSE,Lawyer,95,82,62,76,64,91,79,C,80.1,good,No,good,law
497,Victoria,Anderson,female,FALSE,5,FALSE,Stock Investor,76,81,84,80,80,84,70,B,79.1,good,Yes,average,economics
498,Thomas,Schroeder,male,FALSE,2,FALSE,Accountant,79,93,72,97,69,78,87,A,82.3,good,No,good,economics
499,Mark,Sanchez,male,FALSE,3,FALSE,Software Engineer,93,70,84,68,71,85,70,B,77.3,good,No,good,computer science
500,Katelyn,Moses,female,FALSE,3,FALSE,Accountant,79,96,78,90,94,76,88,A1,83.4,good,No,good,economics
501,Corey,Davis,male,FALSE,1,FALSE,Stock Investor,98,99,72,100,94,77,84,C,88.4,excellent,No,excellent,economics
502,Susan,Klein,female,TRUE,8,TRUE,Business Owner,93,99,81,67,87,76,60,C,79.8,good,Yes,average,economics
503,John,Martinez,male,FALSE,4,FALSE,Banker,91,79,78,95,86,89,100,B,89,excellent,No,excellent,economics
504,Kendra,Robertson,female,FALSE,4,FALSE,Software Engineer,86,99,77,61,72,92,70,A1,81.2,good,No,good,computer science
505,Tamara,Olson,female,FALSE,8,FALSE,Unknown,81,80,85,93,68,75,90,B,81.4,excellent,Yes,good,unknown
506,Sara,Frazier,female,FALSE,6,FALSE,Government Officer,97,94,94,83,91,65,96,B,89.1,excellent,Yes,good,politology
507,Morgan,Moore,female,FALSE,3,TRUE,Game Developer,90,95,89,93,92,99,88,A1,92.4,excellent,No,excellent,computer science
508,Eric,Snyder,male,FALSE,1,TRUE,Software Engineer,90,91,62,82,76,70,64,A1,75.7,good,No,good,computer science
509,Paul,Hale,male,FALSE,5,FALSE,Construction Engineer,82,92,95,61,84,81,82,A1,83.5,good,Yes,average,computer science
510,Dale,Martinez,male,FALSE,7,FALSE,Software Engineer,91,94,89,74,60,77,77,A1,81.9,good,Yes,average,computer science
511,Sandra,Prince,female,FALSE,0,FALSE,Lawyer,70,94,67,74,84,95,65,A,76,good,No,good,law
512,Dawn,Poole,female,FALSE,2,FALSE,Unknown,60,75,70,96,63,82,80,B,74.5,good,No,good,unknown
513,Emily,Jordan,female,FALSE,3,FALSE,Doctor,85,96,99,94,95,92,95,C,93.9,excellent,No,excellent,healthcare
514,John,Owen,male,FALSE,6,FALSE,Lawyer,82,85,72,69,63,99,68,C,79,good,Yes,average,law
515,Andrew,Best,male,TRUE,4,FALSE,Construction Engineer,83,79,92,69,85,71,95,C,81.9,excellent,No,excellent,computer science
516,Holly,Burns,female,FALSE,2,FALSE,Doctor,96,88,100,95,85,94,93,B,92.7,excellent,No,excellent,healthcare
517,Alicia,Rodriguez,female,FALSE,1,FALSE,Software Engineer,85,87,78,72,91,88,93,C,86.2,excellent,No,excellent,computer science
518,Erin,Ray,female,FALSE,4,FALSE,Real Estate Developer,95,61,84,98,63,66,80,B,80.3,good,No,good,economics
519,Todd,Griffith,male,FALSE,6,FALSE,Software Engineer,97,92,87,61,75,62,94,A1,81.4,good,Yes,average,computer science
520,Melinda,Payne,female,FALSE,2,FALSE,Teacher,95,69,91,97,89,84,66,A,87.4,excellent,No,excellent,teaching
521,Cynthia,Williams,female,FALSE,3,FALSE,Unknown,69,98,77,63,88,64,60,A,72.8,good,No,good,unknown
522,Jenny,Washington,female,FALSE,9,FALSE,Business Owner,84,55,65,62,56,91,81,A1,73.4,good,Yes,average,economics
523,Angela,Joyce,female,FALSE,5,FALSE,Banker,92,100,100,98,83,75,72,C,86.7,excellent,Yes,good,economics
524,William,Alvarado,male,TRUE,2,FALSE,Business Owner,87,95,78,82,53,59,66,A,76.7,good,No,good,economics
525,Michael,Mercer,male,FALSE,5,FALSE,Banker,97,87,90,70,96,75,93,C,86.3,excellent,Yes,good,economics
526,Erin,Miller,female,TRUE,8,FALSE,Business Owner,92,96,77,95,63,57,90,A1,79.6,good,Yes,average,economics
527,Robert,Heath,male,FALSE,2,FALSE,Unknown,72,91,68,79,98,71,89,A1,77.9,good,No,good,unknown
528,Deborah,Rojas,female,FALSE,3,TRUE,Business Owner,50,55,96,72,55,50,64,C,61.1,average,No,average,economics
529,Diana,Jones,female,FALSE,7,FALSE,Doctor,97,96,93,94,91,96,87,C,93.3,excellent,Yes,good,healthcare
530,Meredith,Clark,female,FALSE,3,TRUE,Software Engineer,89,77,69,72,63,84,99,C,81.3,good,No,good,computer science
531,Christina,Garrett,female,FALSE,3,FALSE,Scientist,77,76,90,95,94,99,94,B,89.1,excellent,No,excellent,science researching
532,Daniel,Jackson,male,FALSE,1,FALSE,Stock Investor,91,89,66,69,100,88,79,C,83.8,excellent,No,excellent,economics
533,Bradley,Robinson,male,TRUE,7,FALSE,Business Owner,64,92,70,81,85,55,76,C,74.6,average,Yes,below average,economics
534,Phyllis,Schneider,female,TRUE,4,FALSE,Unknown,71,87,63,73,89,77,66,A1,73.7,good,No,good,unknown
535,Thomas,Clark,male,FALSE,10,TRUE,Business Owner,56,79,74,66,92,57,61,A,68.1,average,Yes,below average,economics
536,Gregory,Gonzalez,male,FALSE,4,FALSE,Game Developer,87,70,98,64,65,78,83,A,79.4,good,No,good,computer science
537,Michelle,Roth,female,FALSE,0,FALSE,Software Engineer,99,69,85,91,77,88,75,A1,85.6,excellent,No,excellent,computer science
538,Christopher,Murphy,male,FALSE,2,FALSE,Lawyer,98,88,76,72,92,81,89,A,84.2,excellent,No,excellent,law
539,Mark,Davis,male,FALSE,2,FALSE,Unknown,87,83,74,61,81,72,98,B,78.5,good,No,good,unknown
540,Lauren,Harrington,female,FALSE,6,TRUE,Software Engineer,88,96,90,92,68,97,73,A1,87.9,excellent,Yes,good,computer science
541,Michelle,Owens,female,TRUE,8,FALSE,Business Owner,71,52,53,64,89,76,70,C,67.3,good,Yes,average,economics
542,Scott,Weaver,male,FALSE,2,FALSE,Construction Engineer,96,90,91,95,99,95,99,A,94.7,excellent,No,excellent,computer science
543,Monica,Williams,female,FALSE,0,FALSE,Accountant,81,95,99,65,56,79,98,C,84.5,good,No,good,economics
544,Kathryn,Hampton,female,FALSE,9,FALSE,Business Owner,94,92,63,84,79,66,96,C,82.8,good,Yes,average,economics
545,Christina,Shields,female,TRUE,3,FALSE,Doctor,94,87,98,90,92,88,100,A,93.1,excellent,No,excellent,healthcare
546,Andrew,Thomas,male,FALSE,0,FALSE,Lawyer,98,87,75,63,85,88,75,A1,83.2,good,No,good,law
547,Holly,Sexton,female,FALSE,10,FALSE,Business Owner,100,58,54,97,58,51,80,B,75.3,good,Yes,average,economics
548,Christopher,Peterson,male,FALSE,3,TRUE,Designer,66,89,65,99,84,84,86,A1,78.8,good,No,good,art
549,Eric,Murray,male,FALSE,2,FALSE,Doctor,94,99,97,94,85,97,97,C,95.6,excellent,No,excellent,healthcare
550,Kristina,Watson,female,TRUE,0,FALSE,Game Developer,83,90,93,89,64,63,82,A,82.9,good,No,good,computer science
551,Greg,Martin,male,TRUE,8,FALSE,Business Owner,92,54,50,88,90,91,95,C,80,good,Yes,average,economics
552,Paul,Shaffer,male,FALSE,10,FALSE,Software Engineer,93,100,90,94,97,98,98,A1,95.1,excellent,Yes,good,computer science
553,Alexander,Daniel,male,TRUE,1,FALSE,Government Officer,69,92,84,98,98,83,87,B,87.6,excellent,No,excellent,politology
554,Carla,Davis,female,FALSE,4,FALSE,Software Engineer,94,71,63,73,66,90,91,B,78.1,good,No,good,computer science
555,Chelsea,Clark,female,FALSE,1,FALSE,Stock Investor,100,92,95,90,67,81,66,A1,86.7,excellent,No,excellent,economics
556,Justin,Douglas,male,FALSE,2,FALSE,Unknown,96,92,98,100,94,93,86,A,95.3,excellent,No,excellent,unknown
557,Charles,Reid,male,FALSE,3,TRUE,Lawyer,76,87,99,69,89,93,85,A1,86.6,excellent,No,excellent,law
558,Courtney,Moreno,female,FALSE,9,FALSE,Business Owner,77,62,94,65,77,77,95,A,78.3,good,Yes,average,economics
559,Justin,Mitchell,male,FALSE,1,TRUE,Artist,84,67,79,60,69,80,98,A1,78,good,No,good,art
560,Bruce,Woods,male,FALSE,3,TRUE,Software Engineer,95,61,68,75,64,76,66,C,70.8,good,No,good,computer science
561,Christopher,Hines,male,FALSE,1,FALSE,Accountant,90,64,94,84,66,61,72,A1,77.6,good,No,good,economics
562,Theodore,Williams,male,FALSE,3,FALSE,Unknown,96,89,73,75,99,89,71,C,84.1,excellent,No,excellent,unknown
563,Jennifer,Valdez,female,TRUE,6,FALSE,Business Owner,80,81,92,73,71,71,84,C,78.8,good,Yes,average,economics
564,Alexandra,Day,female,FALSE,2,FALSE,Software Engineer,87,83,75,73,92,91,71,A,80.7,excellent,No,excellent,computer science
565,John,Pacheco,male,FALSE,10,FALSE,Business Owner,94,75,91,64,67,93,65,A1,82.7,good,Yes,average,economics
566,Sherry,Brown,female,FALSE,10,TRUE,Artist,87,82,88,100,73,96,75,C,85.4,excellent,Yes,good,art
567,Douglas,Clark,male,FALSE,2,FALSE,Software Engineer,95,97,88,77,96,96,74,A1,90.2,excellent,No,excellent,computer science
568,Alex,Farmer,male,TRUE,3,TRUE,Construction Engineer,85,96,82,64,82,94,81,A1,84.5,good,No,good,computer science
569,Brandon,Gonzales,male,FALSE,8,TRUE,Business Owner,67,65,77,72,94,88,77,A,75.6,good,Yes,average,economics
570,Wayne,Trevino,male,FALSE,3,TRUE,Government Officer,84,100,92,82,85,70,69,A,84,excellent,No,excellent,politology
571,Pamela,Horne,female,FALSE,7,TRUE,Game Developer,83,88,90,100,71,98,96,A1,89.7,excellent,Yes,good,computer science
572,Michael,Schaefer,male,TRUE,9,TRUE,Business Owner,67,78,68,51,77,72,78,A,67.7,good,Yes,average,economics
573,Carlos,Ramirez,male,FALSE,1,FALSE,Banker,75,92,72,88,92,77,84,B,83.5,good,No,good,economics
574,Antonio,Lucero,male,FALSE,3,TRUE,Government Officer,67,76,70,73,81,85,80,A,74.2,good,No,good,politology
575,Terry,Ashley,male,TRUE,9,FALSE,Business Owner,67,54,51,72,75,60,88,B,68.1,good,Yes,average,economics
576,Rita,Cochran,female,FALSE,1,FALSE,Artist,72,91,78,97,86,93,77,A,84.1,excellent,No,excellent,art
577,Joseph,Gregory,male,FALSE,4,FALSE,Government Officer,78,98,76,68,86,91,82,A,80.1,excellent,No,excellent,politology
578,Alexandra,Robinson,female,FALSE,1,FALSE,Doctor,85,87,92,96,92,90,88,C,89.5,excellent,No,excellent,healthcare
579,Tina,Sparks,female,FALSE,3,TRUE,Stock Investor,100,70,69,61,100,65,81,A1,78,good,No,good,economics
580,Christopher,Buchanan,male,TRUE,5,FALSE,Business Owner,56,59,89,68,79,83,68,B,70.5,good,Yes,average,economics
581,Christina,Guerrero,female,FALSE,5,TRUE,Scientist,93,75,83,99,100,91,74,A,89,excellent,Yes,good,science researching
582,Jessica,Hutchinson,female,FALSE,2,FALSE,Banker,89,91,85,69,76,92,94,A,83.9,excellent,No,excellent,economics
583,Tyler,Carrillo,male,FALSE,3,FALSE,Real Estate Developer,59,88,74,92,72,97,64,A,77.1,good,No,good,economics
584,Lindsay,Brady,female,FALSE,3,FALSE,Unknown,99,70,74,65,99,74,62,B,80.6,good,No,good,unknown
585,Gary,Rivera,male,FALSE,6,FALSE,Lawyer,89,89,85,74,78,87,82,A,83.2,excellent,Yes,good,law
586,Luke,Moore,male,FALSE,3,FALSE,Software Engineer,86,63,78,78,80,67,97,A,79.1,good,No,good,computer science
587,Tanya,Green,female,FALSE,6,FALSE,Banker,79,65,91,65,61,88,95,C,79.2,good,Yes,average,economics
588,Bryan,Lee,male,FALSE,3,FALSE,Doctor,96,89,91,90,90,91,99,C,92.5,excellent,No,excellent,healthcare
589,Melanie,Bridges,female,FALSE,6,FALSE,Doctor,95,90,85,90,96,89,96,A1,91,excellent,Yes,good,healthcare
590,Eric,Bowers,male,TRUE,1,FALSE,Doctor,96,85,90,95,100,96,88,A,93.1,excellent,No,excellent,healthcare
591,Meredith,Reed,female,TRUE,3,FALSE,Unknown,95,80,64,97,85,94,60,C,80.9,good,No,good,unknown
592,David,Brown,male,TRUE,4,FALSE,Unknown,80,62,84,95,71,85,87,A1,81.3,good,No,good,unknown
593,William,Johns,male,TRUE,0,FALSE,Stock Investor,86,70,73,85,67,91,98,C,82.9,excellent,No,excellent,economics
594,Eric,Patton,male,TRUE,10,FALSE,Business Owner,42,95,99,61,62,77,99,A1,75.3,average,Yes,below average,economics
595,Wendy,Warner,female,FALSE,4,FALSE,Lawyer,80,93,93,94,81,81,78,A,86.7,excellent,No,excellent,law
596,Timothy,Powell,male,FALSE,4,TRUE,Artist,79,97,100,94,65,62,76,C,80.8,good,No,good,art
597,Victoria,Thompson,female,TRUE,9,TRUE,Business Owner,43,63,91,67,74,71,88,A1,70.2,average,Yes,below average,economics
598,Jeremy,Brown,male,FALSE,2,TRUE,Real Estate Developer,58,84,95,66,99,91,70,B,78.6,good,No,good,economics
599,Barbara,Schneider,female,FALSE,3,TRUE,Accountant,86,73,83,93,46,91,70,A,80.4,average,No,average,economics
600,Lindsay,Morales,female,FALSE,1,FALSE,Doctor,96,91,97,84,89,82,75,A1,88.9,excellent,No,excellent,healthcare
601,Gary,Patel,male,FALSE,1,FALSE,Lawyer,91,88,98,89,75,91,92,A1,90.4,excellent,No,excellent,law
602,Michelle,Ortiz,female,FALSE,1,FALSE,Unknown,85,62,77,62,80,88,83,A1,78.7,good,No,good,unknown
603,Susan,Lynch,female,FALSE,0,FALSE,Artist,87,91,93,92,97,95,99,C,93.9,excellent,No,excellent,art
604,Tammy,Hernandez,female,FALSE,2,FALSE,Unknown,60,91,85,67,98,61,64,B,75.1,average,No,average,unknown
605,Jennifer,Guerra,female,FALSE,2,FALSE,Unknown,76,85,67,60,100,63,64,B,75.1,good,No,good,unknown
606,Kelly,Schwartz,female,FALSE,4,TRUE,Lawyer,84,89,74,79,86,93,95,C,87.7,excellent,No,excellent,law
607,Brittany,Orozco,female,FALSE,4,TRUE,Lawyer,87,94,74,84,77,82,85,C,84.4,excellent,No,excellent,law
608,Samantha,Alvarado,female,TRUE,4,FALSE,Accountant,82,79,64,75,93,82,60,A1,76.3,good,No,good,economics
609,Christopher,Anderson,male,FALSE,4,FALSE,Business Owner,64,61,73,70,87,75,100,A,73.7,good,No,good,economics
610,William,Smith,male,FALSE,3,FALSE,Lawyer,77,80,88,84,84,92,82,C,84.1,excellent,No,excellent,law
611,Courtney,Patterson,female,FALSE,0,FALSE,Stock Investor,86,82,90,69,66,93,94,A1,84.9,excellent,No,excellent,economics
612,Kevin,Hess,male,FALSE,0,FALSE,Real Estate Developer,81,84,76,88,84,89,87,B,84.2,excellent,No,excellent,economics
613,Melissa,Higgins,female,FALSE,3,FALSE,Software Engineer,91,90,92,78,67,86,71,B,81.1,excellent,No,excellent,computer science
614,Elizabeth,Chavez,female,FALSE,7,FALSE,Business Owner,72,99,61,67,95,98,89,A1,81.2,good,Yes,average,economics
615,Mary,Taylor,female,FALSE,3,FALSE,Writer,80,70,80,96,72,99,65,A1,82.1,excellent,No,excellent,journalism
616,Joshua,Parker,male,FALSE,2,FALSE,Unknown,90,89,98,70,79,60,92,C,81.9,good,No,good,unknown
617,Joshua,Kelly,male,FALSE,10,FALSE,Business Owner,72,51,52,98,50,90,63,A,69.8,good,Yes,average,economics
618,Travis,Ross,male,FALSE,3,FALSE,Software Engineer,93,85,89,93,90,91,88,C,89.3,excellent,No,excellent,computer science
619,Kenneth,Buchanan,male,FALSE,2,FALSE,Doctor,95,85,90,94,91,84,85,C,87.8,excellent,No,excellent,healthcare
620,Ryan,Clarke,male,FALSE,2,TRUE,Doctor,86,93,89,90,100,86,93,C,90.9,excellent,No,excellent,healthcare
621,Gina,Solomon,female,FALSE,6,FALSE,Business Owner,89,55,89,67,55,64,70,B,70,good,Yes,average,economics
622,David,Madden,male,FALSE,5,FALSE,Unknown,90,75,67,85,64,95,96,A1,82.4,good,Yes,average,unknown
623,William,Brennan,male,FALSE,1,FALSE,Unknown,79,95,81,67,66,71,66,B,73.7,good,No,good,unknown
624,Judy,Mckenzie,female,TRUE,5,FALSE,Teacher,86,88,98,66,62,95,90,A,83.5,good,Yes,average,teaching
625,Logan,Lindsey,male,FALSE,3,FALSE,Artist,83,78,68,72,77,89,70,A,76,good,No,good,art
626,Kyle,Williams,male,FALSE,6,FALSE,Lawyer,85,92,62,95,65,89,95,A1,81.9,good,Yes,average,law
627,Mark,Padilla,male,FALSE,3,FALSE,Artist,66,78,86,87,64,65,64,A,74.9,good,No,good,art
628,Eugene,Clark,male,FALSE,6,TRUE,Accountant,93,80,60,62,43,68,67,C,68.8,average,Yes,below average,economics
629,Sean,Wagner,male,FALSE,6,TRUE,Unknown,65,89,79,95,71,61,62,B,75.3,good,Yes,average,unknown
630,Christine,Larson,female,TRUE,2,FALSE,Real Estate Developer,52,66,98,83,92,82,91,B,79.1,good,No,good,economics
631,Melinda,Freeman,female,FALSE,3,TRUE,Banker,90,80,84,70,65,89,64,C,77.5,good,No,good,economics
632,Elizabeth,Smith,female,FALSE,2,TRUE,Artist,83,89,99,100,73,86,88,C,88.1,excellent,No,excellent,art
633,Walter,King,male,FALSE,1,FALSE,Artist,62,89,72,68,85,80,75,A,73.3,good,No,good,art
634,Lisa,Bean,female,FALSE,1,FALSE,Writer,98,72,99,84,60,95,93,C,86.1,good,No,good,journalism
635,Douglas,Hayes,male,FALSE,8,TRUE,Unknown,76,75,74,67,76,82,79,C,76.5,good,Yes,average,unknown
636,Heather,Jefferson,female,FALSE,0,FALSE,Game Developer,97,62,98,70,67,71,70,A,80,good,No,good,computer science
637,Melinda,Byrd,female,TRUE,6,FALSE,Business Owner,63,60,95,99,87,58,66,C,71.2,average,Yes,below average,economics
638,Alexander,Burnett,male,FALSE,5,FALSE,Artist,98,99,64,88,72,87,99,C,89.2,good,Yes,average,art
639,Maria,Campos,female,TRUE,10,FALSE,Business Owner,78,84,84,61,88,67,92,A1,78.3,good,Yes,average,economics
640,Lindsey,Anthony,female,FALSE,2,TRUE,Stock Investor,85,77,89,77,84,71,71,C,77.3,good,No,good,economics
641,Darryl,Schultz,male,FALSE,6,FALSE,Business Owner,59,100,84,93,70,56,74,A,77.2,average,Yes,below average,economics
642,Bethany,French,female,FALSE,2,TRUE,Unknown,99,77,88,60,93,61,96,A,82.1,good,No,good,unknown
643,Tyler,Scott,male,FALSE,6,TRUE,Accountant,76,62,86,80,47,85,71,B,71,average,Yes,below average,economics
644,Patricia,Hall,female,FALSE,7,FALSE,Lawyer,80,90,85,89,85,80,68,B,83.1,excellent,Yes,good,law
645,Ryan,Williams,male,FALSE,7,FALSE,Business Owner,82,74,92,50,77,98,100,C,84.5,good,Yes,average,economics
646,Levi,Mason,male,FALSE,1,FALSE,Software Engineer,89,64,72,61,75,68,83,B,73.7,good,No,good,computer science
647,Michael,Vang,male,FALSE,4,FALSE,Software Engineer,89,79,75,80,97,94,68,B,84.8,excellent,No,excellent,computer science
648,April,Humphrey,female,FALSE,0,FALSE,Software Engineer,86,89,94,95,60,90,90,C,87.3,good,No,good,computer science
649,Steven,Hancock,male,TRUE,4,FALSE,Business Owner,65,76,92,86,93,61,97,C,80.4,good,No,good,economics
650,Chelsea,Olson,female,FALSE,4,FALSE,Banker,77,95,77,84,60,90,89,A,81,good,No,good,economics
651,Emily,Huang,female,FALSE,4,FALSE,Banker,88,85,68,62,64,99,66,A1,78.7,good,No,good,economics
652,Rachel,Jones,female,FALSE,1,FALSE,Accountant,98,77,94,87,44,85,61,A1,82.3,average,No,average,economics
653,Philip,Walker,male,FALSE,5,FALSE,Lawyer,84,86,90,80,72,99,85,A,85,excellent,Yes,good,law
654,Laura,Rivera,female,FALSE,1,TRUE,Software Engineer,91,85,66,83,70,71,80,B,79,good,No,good,computer science
655,Pamela,Henry,female,FALSE,4,FALSE,Doctor,97,95,94,90,86,85,95,A1,91.8,excellent,No,excellent,healthcare
656,Nicole,Davidson,female,FALSE,7,TRUE,Banker,77,88,63,87,71,93,84,C,82.8,good,Yes,average,economics
657,Jeffery,Parker,male,FALSE,0,TRUE,Doctor,100,84,93,96,97,70,95,A,92.4,excellent,No,excellent,healthcare
658,Christopher,Banks,male,TRUE,3,TRUE,Software Engineer,93,70,62,99,63,83,60,B,78.5,good,No,good,computer science
659,Tara,Griffin,female,TRUE,5,TRUE,Banker,93,99,79,78,64,87,76,C,83.8,good,Yes,average,economics
660,Lisa,Lloyd,female,TRUE,4,FALSE,Banker,94,89,74,75,73,78,61,B,78.6,good,No,good,economics
661,Elizabeth,Maldonado,female,FALSE,4,TRUE,Banker,88,86,79,93,68,92,99,A,86.5,excellent,No,excellent,economics
662,Samuel,Anderson,male,TRUE,10,FALSE,Business Owner,93,95,94,70,83,86,94,A,87.2,excellent,Yes,good,economics
663,Xavier,Johnson,male,FALSE,2,TRUE,Construction Engineer,83,75,84,68,95,80,88,A,80.8,excellent,No,excellent,computer science
664,Lauren,Cordova,female,TRUE,3,FALSE,Lawyer,96,93,100,96,97,81,72,B,92.4,excellent,No,excellent,law
665,Amanda,Hawkins,female,TRUE,8,FALSE,Accountant,87,88,93,88,96,85,94,A,89.9,excellent,Yes,good,economics
666,Donald,Coleman,male,FALSE,9,TRUE,Lawyer,95,82,84,69,63,85,69,A,79.5,good,Yes,average,law
667,Phillip,Bennett,male,FALSE,1,FALSE,Accountant,87,87,86,84,66,83,81,B,81.1,excellent,No,excellent,economics
668,John,George,male,FALSE,9,FALSE,Business Owner,43,95,64,95,66,67,74,A,70.6,average,Yes,below average,economics
669,Katherine,Moore,female,TRUE,6,FALSE,Business Owner,40,100,88,79,71,86,89,A1,76.7,average,Yes,below average,economics
670,Jose,Dominguez,male,FALSE,2,FALSE,Real Estate Developer,64,70,98,82,100,72,78,A,80.8,good,No,good,economics
671,Lauren,Morrow,female,FALSE,3,FALSE,Unknown,72,79,95,68,75,70,88,A,78.2,good,No,good,unknown
672,Katie,Davenport,female,FALSE,2,FALSE,Lawyer,77,96,86,84,90,85,91,B,86,excellent,No,excellent,law
673,Michelle,Martinez,female,TRUE,10,TRUE,Business Owner,40,86,53,63,50,87,77,A,61.2,average,Yes,below average,economics
674,Jeremiah,Stanley,male,FALSE,2,FALSE,Construction Engineer,100,89,90,96,72,90,86,B,89.1,excellent,No,excellent,computer science
675,Isaac,Tucker,male,FALSE,5,TRUE,Software Engineer,89,93,95,88,72,76,71,B,83.3,excellent,Yes,good,computer science
676,Hannah,Garcia,female,TRUE,2,FALSE,Software Engineer,97,74,76,72,62,69,90,A,78.5,good,No,good,computer science
677,Thomas,Nelson,male,FALSE,2,FALSE,Unknown,100,77,74,61,81,96,96,C,85.4,good,No,good,unknown
678,William,Kennedy,male,FALSE,4,FALSE,Lawyer,81,88,85,89,81,91,98,A1,87,excellent,No,excellent,law
679,Jennifer,Williams,female,FALSE,6,FALSE,Business Owner,100,91,53,78,55,91,74,C,79.8,good,Yes,average,economics
680,Jeffrey,Price,male,FALSE,2,FALSE,Designer,80,65,96,73,84,92,73,B,80,excellent,No,excellent,art
681,Zachary,Burns,male,FALSE,5,FALSE,Accountant,79,88,83,84,78,72,79,B,80.4,good,Yes,average,economics
682,Curtis,Duffy,male,FALSE,3,FALSE,Software Engineer,96,64,100,87,88,60,62,A1,81.3,good,No,good,computer science
683,Allison,Alvarado,female,FALSE,1,FALSE,Accountant,95,81,91,62,36,79,69,A1,77.8,average,No,average,economics
684,Jeffery,Kelley,male,FALSE,4,FALSE,Unknown,86,68,65,64,95,82,87,A1,78,good,No,good,unknown
685,Kenneth,Clark,male,FALSE,1,TRUE,Lawyer,86,97,72,90,95,99,76,A1,87.2,excellent,No,excellent,law
686,Hayley,Case,female,FALSE,2,FALSE,Unknown,87,68,66,83,92,81,80,B,81.9,excellent,No,excellent,unknown
687,Vanessa,Martinez,female,FALSE,0,FALSE,Accountant,94,87,100,90,86,86,90,A,91.7,excellent,No,excellent,economics
688,Tara,Thomas,female,FALSE,0,FALSE,Doctor,88,71,87,85,100,78,78,A,84.7,excellent,No,excellent,healthcare
689,Aaron,Williamson,male,FALSE,2,TRUE,Artist,88,69,76,64,90,78,80,A1,78.7,good,No,good,art
690,Phillip,Nelson,male,FALSE,3,FALSE,Unknown,76,61,68,88,86,87,66,A1,76.3,good,No,good,unknown
691,Michael,Hinton,male,FALSE,1,TRUE,Construction Engineer,84,66,99,80,71,88,89,C,82,excellent,No,excellent,computer science
692,Alex,Shelton,male,FALSE,0,TRUE,Software Engineer,96,77,91,85,69,91,91,A1,87.8,excellent,No,excellent,computer science
693,Ross,Esparza,male,TRUE,10,FALSE,Business Owner,57,75,64,85,53,95,81,A1,72.6,good,Yes,average,economics
694,Lisa,Murphy,female,FALSE,1,FALSE,Teacher,93,79,82,67,64,90,65,A1,80.5,good,No,good,teaching
695,Richard,Gibson,male,FALSE,1,FALSE,Unknown,88,84,61,61,79,62,99,A1,74.5,good,No,good,unknown
696,Jackson,Olson,male,FALSE,2,FALSE,Construction Engineer,89,99,86,97,98,97,93,A,93.1,excellent,No,excellent,computer science
697,Michael,Waters,male,FALSE,3,FALSE,Construction Engineer,80,88,94,94,100,99,99,A,92.2,excellent,No,excellent,computer science
698,Daniel,Mcneil,male,FALSE,6,FALSE,Banker,94,92,61,87,61,94,69,B,80,good,Yes,average,economics
699,James,Mcgee,male,FALSE,9,FALSE,Construction Engineer,99,74,98,69,69,64,96,A1,83,good,Yes,average,computer science
700,Dennis,Park,male,FALSE,2,FALSE,Banker,81,72,87,62,69,93,72,B,74.8,good,No,good,economics
701,Gregory,Jones,male,FALSE,6,FALSE,Unknown,91,61,95,82,77,87,95,A,85.6,good,Yes,average,unknown
702,Barbara,Petersen,female,FALSE,2,TRUE,Writer,71,100,99,95,91,96,96,B,90.5,excellent,No,excellent,journalism
